,comment,label_id,comment_len_by_words
10657,در مقابل Galaxy III Galaxy Note حرف چندان برای گفتن نداره,-1,11.0
12155,خیلی کم چیز کمتر از استاپ,1,6.0
0,اینک قصد داشت#دار پرینتر دیگر از پرینترهای لیزر کمپانی Hp را معرف کرد#کن,0,13.0
10352,تو این رده قیمت با این امکانات بهترین انتخابه,1,9.0
10195,مثلا دوربین به طور خودکار در عکس JPEG خطا رنگ اثر Vignetting بوجود آمده توسط لنز را تا حد جبران کرد#کن,1,21.0
2981,یک تفاوت که بین این تبلتها خیلی به چشم میاد کیفیت بالا صفحه نمایش بدنه اینفینیتی #هست که برای کسانی که به ظاهر تبلتشون بها میدن این نکته مهمه,0,29.0
11076,شاید بسیار گفت#گو که این به دلیل پردازنده خود گوش بود#باش اینکه پردازنده ضعیف توانست#توان عمل تشخیص پردازش صدا را به سرعت انجام داد#ده ولی عمل پردازش جستجو جا در بانک اطلاعات عظیم اپل رخ داد#ده گوشی‌های با پردازنده ضعیف هم توانست#توان از پس آن برآیند,1,46.0
8318,بلندگوهااپل بلندگو MacBook Pro را به طور کامل از نو طراح کرد#کن توانست#توان بدون اغراق گفت#گو که این بلندگو یک از بهترین بلندگوهاییست که تا به امروز بر روی لپ‌تاپ دید#بین,1,31.0
12434,هم فیلم دید#بین هم موسیقی گوش کرد#کن همچنین وبگردی,0,9.0
13706,منوی فارس GPS EYEFI هم داره,1,6.0
2041,کار با گوشی‌های سامسونگ نیز همین حس را در شما بوجود آورد#آور تنها با تفاوت کم لذت بخش,1,18.0
894,در حقیقت خود این دوربین دارا Wi-Fi نیست ولی از طریق NFC توانست#توان با Wi-Fi دستگاه سازگار کار کند,1,19.0
2134,فیلم رو با کیفیت HD تماشا کرد#کن,0,7.0
8289,از رقبا اصل این دوربین می‌توان به Canon Ixus HS Fujifilm Finepix EXR Nikon Coolpix Panasonic Lumix DMC-FX Pentax Optio S۱ Sony Cybershot DSC-WX۷ اشاره کرد#کن,0,26.0
9069,دوربین این گوش بهترین یا سریع دوربین مگاپیکسلی موجود نیست همان‌طور که از گوش با این مشخصات انتظار رفت#رو دوربین آن کیفیت متوسط داشت#دار,0,24.0
14783,سیستم ضبط که در دوربین JVC به کار رفته #است از نوع MPEG-۲ TS #است نه AVCHD که در مدل‌های ساخت پاناسونیک سون کانن دید#بین,0,25.0
1608,دلیل این امر این #است که اپل اعتقاد داشت#دار این حداکثر سایز استاندارد برای کار کردن با یک دست با گوش بود#باش,0,22.0
11131,جواب دادن به سوال نخست کم سخت #است,-1,8.0
2766,نمایشگر که توانست#توان برای عکاس از چهره خود عکاس استفاده شد#شو که کاملا کاربرد #است,1,15.0
7690,جالب اینجاس که Beats رو به هر سیستم دیگه‌ای وصل کرد#کن شاهد همچین کیفیت بود#باش Volume این کوچولو معلوم نیست تا چه حد زیاد میشه اصلا حاضر نیست کم بیاره,1,30.0
5059,کارت شبکه بی سیم وجود کارت شبکه بی‌سیم با قابلیت پشتیبان از انواع فرمت‌های انتقال داده در شبکه امکان ارتباط کنسول XBOX را با انواع شبکه بی‌سیم مهیا می‌‌کند,1,29.0
7682,در کل از شارژدهی باتری این نوت‌بوک کاملا راضی #هست,2,10.0
6090,با نگاه به اطراف گوش دید#بین که کلید شکاف مختلف در طرفین گوش وجود داشت#دار,0,15.0
12070,ظاهر زیباسخت افزار قدرتمندقیمت مناسب البته نه واسه ما,1,9.0
10429,به هر حال با اینکه صفحه‌نمایش Neo شما را شگفت زده کرد#کن ولی در کل کاملا رضایت‌بخش به نظر رسید#رس,1,20.0
8728,بعد جا که کیبورد داشت#دار space رو چند ثانیه نگه دار بعد از منوی ظاهر شده پارس رو انتخاب کن,0,20.0
8207,به همین دلیل سطح آن همواره تمیز باقی ماند#مان,1,9.0
8486,ضخامت آن نیز معادل ٫۴ میلی‌متر #است که این وزن ضخامت Fonepad را در رده تبلت معروف هفت اینچ Google Nexus قرار داد#ده,1,23.0
8668,نهایتا در قسمت پشت گوش نیز دوربین به همراه فلاش LED لوگوی Beats به چشم خورد#خور,0,16.0
10051,قیمت بالاست به نظر فقط چون اسم htc روشه,-1,9.0
3767,همچنین توانست#توان نوردهی را نیز به صورت دست تنظیم نمود#نما,0,10.0
10546,آخه مگه یه گوش میخواد چی کار کنه با این پول هم میشه یک لپ تاپ یک تبلت یک گوش عالی خرید#خر,-2,22.0
6761,بدنه این دوربین کاملا خوش ساخت درست شده در رنگ مختلف نیز تولید شد#شو تا باب طبع سلیقه مختلف بود#باش,2,20.0
6744,برای کاربر خانگی ادارات کوچک مدارس خیلی کاربرد مقرون به صرف #است,1,12.0
5807,تو این مدت هم تعداد زیاد از این گوش دید#بین که همین طوری شده,0,14.0
2829,اما حافظه داخل این گوش گیگابایت #است که با پشتیبان گوش از کارت حافظه microSD تا گیگابایت دیگر نیز می‌توان به آن افزود#افزا,0,23.0
14698,گوش خوبی به نظر میرسه قیافشم من مپسندم,1,8.0
3644,کاربرانی که تمایل داشت#دار در مود اتوماتیک کار کرد#کن نیز توانست#توان از حالت در نظر گرفته شده نیز بهره ببرند که بر روی LCD دوربین نمایش داد#ده,0,27.0
8701,این محصول شگفت‌انگیز #است,2,4.0
2803,خطا رنگ به خوبی کنترل شد#شو فقط مقدار خطا رنگ بنفش در مناطق پر کنتراست مشاهده گشت#گرد,0,17.0
7254,به نظر من باید طوری طراح میکردن که تبلتش نیاز کمتر به گوش داشت نه اینکه صددرصد به گوش محتاج باشه,-2,21.0
9892,دوربین کانن SX HS مجهز به فلاش داخل Pgr-Up یا بالا پرنده بود#باش,0,13.0
9229,HTC One شیار مموری کارت داشت#دار ولی حافظه داخل گیگابایت آن این کاستی را جبران کرد#کن,0,16.0
4111,سلام دوستان من این گوش رو ۲-۳ روز #هست که میشه گرفت#گیر حافظه بالا رو داره صفحه تاچ قوی #هست باتریش واسه من که خوب جواب داده دوربین انتظارات رو تا حدود برآورده میکنه بازی hd رو راحت اجرا کرده تنها عیب که به نظر داره کیفیت صدا #هست,1,49.0
9041,صفحه نمایش معلومه که زیر آفتاب به درد نمیخوره,-1,9.0
4163,در بخش فیلم بردار اصلا خوب نیست,-1,7.0
8188,مشخصا فیلم این دوربین نویز کمتر حساسیت بیشتر به نور رنگ غلیظ‌تری داشت#دار,1,13.0
7849,من خودم به لطف سیستم خنک کنندگی انحصار پیشرفته ایسوس تمام طراح تحلیل رشته مهندس مکانیک نرم افزار هایی مثل Catia Ansys MathlabCarrierPDMS,2,23.0
29,کار با آن بسیار راحت ساده #است,2,7.0
13829,هرچند که به عنوان یک نوت‌بوک مالتی‌مدیا انتظار دیدن بعضی پورت‌ها‌ی دیگر را نیز علاوه بر HDMI که بر روی آن وجود داشت#دار داشت#دار,0,24.0
12931,در آینده احتملا مدل LTE GB آن وارد بازار میشود,0,10.0
444,همچنین به کمک فناوری بلوتوث NFC درگاه USB نیز می‌توان به راحت با دیگر دستگاه تبادل اطلاعات نمود,1,18.0
2586,بدست که میگیری حس حرفه ایه عکاس بهت دست میده مخصوصا وقت از چشم استفاده میکنی,1,16.0
7944,عکاس با این دوربین کار فوق العاده ساده ایست بدین ترتیب که توانست#توان آن را به سو سوژه نشانه رفت#رو با فشردن دکمه شاتر با کیفیت تصویر را تهیه کرد#کن,2,30.0
567,در پایین صفحه کلید تاچ پد دستگاه قرار داشت#دار,0,9.0
8091,یک ویژگی بسیار خوب دیگر در مورد این دوربین شارژدهی باتری آن بود#باش که از مدل پیشین بیشتر #است,2,19.0
5826,به هر صورت همانند دیگر دوربین سون سایبر HX هم کاملا خوش ساخت خوش دست بود#باش با توجه به دستگیره نسبتا خوبی که بر روی آن قرار گرفته ارگونومی بسیار عالی را ارائه داد#ده که تا حدود از ارگونومی رقبا در دیگر برندها بهتر بود#باش,2,45.0
6083,طراح ساخت طراح این گوش اصلا با دیگر گوشی‌های معروف سامسونگ بیگانه نیست,0,13.0
4082,نکات قدرت این گوش تنها چیز #است ۱قیمت مناسب ۲صفحه کلید خوب ۳پردازنده قوی اما در مقابل عدم داشتن سیستم عامل نه تنها نکته منفی محسوب میشود بلکه پردازنده۱ghzان نیز بدون استفاده میماند,-1,33.0
10205,در عمل همه چیز را توانست#توان از طریق نمایشگر لمس کنترل کرد#کن تا تقریبا هیچ نیاز به کنترل فیزیکی داشت#دار,1,20.0
12242,دوربین HTC در سری گوشی‌های One خود یک پردازشگر به نام ImageChip قرار داد#ده که وظیفه انجام محاسبات مربوط به دوربین گوش را بر عهده داشت#دار,0,26.0
11689,از نظر ظاهر این دوربین شباهت بسیار زیاد با دیگر دوربین Bridge داشت#دار اتفاقا این دوربین شبیه به دوربین حرفه‌ای DSLR ساخت#ساز,1,22.0
4861,میتوان هم به صورت ایستاده هم خوابیده از آن استفاده کرد#کن,0,11.0
12468,به نظر من این بهترین تبلت بازار کنون جهانه,2,9.0
7655,این در مورد میزان کنتراست نیز صحیح #است,0,8.0
12413,اما باخت#باز تاکید میکنم فقط بدرد کسانی میخوره که بتونند سنجیده عمل کرد#کن درست از این گجت استفاده کرد#کن,0,19.0
1894,محصولات اپل برای کسا #هست که دیگه به iOS عادت کرد#کن ولی باید گفت#گو این گوش تقریبا در هیچ مورد بهترین گوش دنیا نیست,-1,24.0
12039,کارت گرافیک این کوشید#کوش از گلکسی س۳ خیلی بهتره,2,9.0
10446,امکانات عالی هم داره,2,4.0
9089,با این حال اینترفیس مقدار قابل درک ساده در استفاده شد#شو,1,11.0
2371,این داک دارا یک صفحه نمایش ٫۱ اینچ بوده داخل آن یک باتری میلی آمپر-ساعت قرار داد#ده,0,17.0
14789,صفحه نمایش آن از کیفیت مناسب بهره برد#بر حتی در شرایط آفتاب نیز عمل‌کرد خوبی را نشان داد#ده,1,18.0
5276,با اینکه سامسونگ با تولید گوشی‌های سری Note قصد داشت یک دستگاه مابین گوش تبلت‌ها را تولید نمود#نما اما در واقع این LG #است که با تولید Optimus VU به این هدف نائل گشت#گرد,1,34.0
2374,متاسفانه بر خلاف مدل پیشین PadFone دارا کیبورد جداگانه بود#باش نمی‌توان از آن به عنوان یک نت بوک استفاده کرد#کن این موضوع ممکن #است باعث شد#شو که تعداد از دارندگان مدل پیشین تمایل خود را برای ارتقا به PadFone از دست داد#ده,0,42.0
14264,در قسمت پایین دستگاه میکروفون اسپیکر پور -Pin Dock Connector دید#بین,0,11.0
