,comment,label,length
3178,نمایشگر این دوربین بسیار عالیست به طوری که از نوع اینچی با رزولوشن فوق العاده ۹۲۱۰۰۰ پیکسل می‌باشد.,1.0,19.0
5885,موزیک ویدیو پلیر موجود به خوبی فایل‌های مورد نظر شما را در اکثر فرمت‌ها پخش خواهد کرد.,1.0,17.0
5285,در نقد بررسی p۵۱۰ لنز آن را فوق‌العاده خواندیم.,1.0,11.0
4784,"من دیشب همین هاردو از بازار رضا گرفتم کاملا"" توی پک بسته بندی بود بعد توی خانه باز کردم دیدم پشتش خش خط کوچکی داره توی کارت گارانتی سازگارا نوشته به هر دلیلی روی ان خط خش بی افته از گارانتی خارجه!",0.0,44.0
2621,هرجور بازی برنامه‌ای که دلتون بخواد اجرامیکنه سرعت گوشی انقدر زیاده که تصورشم برای آدم مشکله.,1.0,17.0
6680,(به دلیل مشکل قطع شدن wifi بعد از قرار دادن سیم کارت.,0.0,14.0
3342,البته از آن هایی که فقط به سمت بالا چرخش می‌کنند.,0.0,12.0
4020,به علاوه شیشه استفاده شده در قاب پشتی گوشی، استحکام بالایی در برابر ضربه نداشته به همین دلیل کاربران nexus باید در نگهداری از آن بیشتر دقت کنند.,0.0,30.0
4318,از دیگر فن‌آوری‌های به کار رفته در sx۲۳۰ می‌توان به i-contrast (کیفیت جزئیات مناطق سایه در عکس را افزایش می‌دهد)، smart flash exposure (میزان نور فلاش را بسته به شرایط تنظیم می‌کند تا زیاد یا کم نباشد)، فن‌آوری تشخیص چهره که می‌تواند تا ۳۵ چهره‌ی انسان را در یک فریم تشخیص دهد face self timer که برای در عکس قرار گرفتن خود عکاس خیلی مناسب است اشاره کرد.,1.0,76.0
4515,در دست گیری آن نیز خیلی راحت می‌باشد به صورت کاملا مطمئن در کف دست شما جای می‌گیرد.,1.0,19.0
1932,این ابعاد برای یک گوشی با صفحه نمایش ۳٫۵ اینچی مناسب است.,1.0,13.0
13,جمع بندی صفحه نمایش با کیفیت، شفاف روشن infinity آن را به یک جانشین عالی برای transformer prime تبدیل کرده است.,1.0,22.0
1391,در قسمت پشت این دوربین نیز نمایشگر ۲٫۷ اینچی ۲۳۰۰۰۰ پیکسلی قرار گرفته که برای این دوربین خیلی خوب مناسب است.,1.0,22.0
3833,کیفیت ساخت نیز بسیار بالاست.,1.0,6.0
76,نتیجه تست‌های مختلف صورت گرفته توسط سایت معتبر آناندتک نشان می‌دهد که باز هم باید آیفون را قدرتمندترین گوشی موجود تا به امروز بنامیم.,1.0,25.0
833,به نظر من اگر شرکت سونی با توجه به سرعت پردازنده یه کم روی سخت افزار این گوشی کار می‌کرد تا کمتر هنگ کنه دیگه این گوشی از هر نظر عالی بود البته به غیر از دوربینش که اون بحثش جداست تراشه این گوشی ضعیفه به نظر من این بزرگترین عیبی هست که این گوشی داره شاید تنها دلیل اینکه این گوشی نسبت به قیمتش نمی‌ارزه همین است,0.0,68.0
6406,همانند بسیاری از دوربین‌های رقیب، تماشای نمایشگر این دوربین هم شرایطی که نور شدید آفتاب وجود دارد مشکل است.,0.0,21.0
5734,به نظر من که عالیه من که خیلی راضیم ولی خیلی از صفحه کیبوردش استفاده نمیشه,1.0,16.0
3400,مدتیه که این دوربین رو از دیجی کالا خریداری کردم لازم دونستم چندتا نکته رو به اطلاع کسانی که قصد خرید این مدل رو دارند برسونم اول از هرچیزی توجه داشته باشین که صفحه لمسی این دوربین مقاومتیه کابل hdmi نداره باید جداگانه تهیه بشه با توجه به ژاپنی بودن دوربین منوی شروع به زبان ژاپنیه تمام محتویات دفترچه راهنمای دوربین به زبان ژاپنی نوشته شده!,0.0,67.0
3777,طراحی زیبایی هم نداره!,0.0,5.0
3971,event selection نیز کارآیی جالبی دارد.,1.0,7.0
3747,۳- دکمه‌های تاچ پایین صفحه نمایش چراغ نداره روشن نمیشه!,0.0,11.0
2158,سلام به همه دوستان من یه سالی میشه که خریدمش ازش راضیم تا حالا نشده برنامه نرم افزاری رو اجرا نکنه اگه از مموری کلاس بالا استفاده کنین هنگ نمیکنه (تا ۳۲ قابل‌ارتقاست) نسبت به قیمتش دوربین نسبتا خوبی داره فیلم‌برداریش میتونم بگم عالیه..,1.0,48.0
5012,الان روش اندروید ۴٫۲٫۲ داره از نظر نرم افزاری بهترینه از نظر سخت افزاریم خیلی عملکرد خوبی داره.,1.0,20.0
1673,شما می‌توانید میزان درخشانی این صفحه نمایش را به دل‌خواه خود تنظیم کنید.,1.0,14.0
1597,انصافا ios سیستم ساده راحت فوق العاده ایه، من خودم باهاش کار کردم، حسی که تو دست گرفتن آیفون بهت میده رو با هیچ گوشی دیگه‌ای نمیتونی تجربه کنی، ابعادش راحتی استفادش فوق العادست، من خودم one دارم، فکر نمیکردم کیفیت صفحش از گوشی خودم بالاتر باشه ولی خودمونیم صفحه آیفون یه چیز دیگست!,1.0,60.0
5374,اگه یه گرافیک یه گیگ داشت دیگه حرف نداشت,0.0,9.0
1678,این نحوه ایستادن تبلت، کار با آن همین طور صفحه کلید متصل شده به آن را بسیار راحت‌تر می‌نماید.,1.0,21.0
6215,نرم افزار یکی از بهترین خصوصیات این تبلت، قابلیت سوئیچ کردن پویای آن است.,1.0,16.0
1333,هیچوقت به پای گوشیهای جدید ۲۰۱۲ نمیرسه سامسونگ الان تو زمینه گوشی حرف اول رو میزنه iii note خیلی بهترن.,0.0,21.0
2787,در ضمن ایسوس به تمام خریداران padfone ۲، پنجاه گیگابایت فضای مجازی به صورت رایگان برای دو سال هدیه می‌دهد.,1.0,22.0
599,ایراد داره: توحالت فیلم برداری pause نداره.,0.0,9.0
6008,دوم اینکه در صورت به زمین خوردن دستگاه، احتمالا لنز دوربین آن خواهد شکست که این یک اشتباه غیر قابل جبران است.,0.0,23.0
4668,شارژدهی باتری لیتیومی شارژی این دوربین با gps روشن حدود ۳۱۰ عکس می‌باشد که از ۳۴۰ عکس دوربین ft۱ کمتر است.,0.0,22.0
2992,بهترین گوشیه که تا به حالا باهاش کار کردم مخصوصا سرعت دوربین صدا اینترنت خوش‌دست بودنش نسبت به قیمتش عالیه,1.0,20.0
1162,واقعا‎ ‎عالیه، سیستم‎ ‎عالی,1.0,5.0
6234,اپل همچنان بی رقیبه.,1.0,5.0
6240,همچنین توسط بسیاری از موسسات نشریات معتبر به عنوان برترین دوربین ورزشی موجود انتخاب تحسین شده است.,1.0,17.0
1925,همانطور که گفتیم، w۶۳۰ دوربینی کاملا کوچک، سبک، جیبی خوش ساخت است که از امکاناتی بسیار خوب را ارائه می‌دهد.,1.0,25.0
636,با وجود این مشخصات، تمامی دستورات در mediapad ۱۰ به سرعت بسیار روان اجرا می‌گردند.,1.0,17.0
5629,آخری به خصوص برای گرفتن عکس‌های ماکرو که به فوکوس دقیق احتیاج دارند بسیار عالیست چرا که وسط نمایشگر هم بزرگنمایی ایجاد می‌شود.,1.0,24.0
4173,به نظر من با توجه به گوشی‌های امروزی تنها نقصش صفحه نمایش اونه که یکم نسبت به بقیه کوچیکه ولی با این حال خوبه.,1.0,25.0
919,مهمتر از همه کیفیت فیلبرداریش که full hd هست با کیفیت بی نظیر تحویل میده بدون پیکسل شدن به راحتی روی کامپیوتر پخش میشه,1.0,24.0
4552,کیفیت فیلمبرداری نیز بسیار خوب است در صورتیکه زوم کامل درستی انجام شده باشد کاملا زنده شفاف میباشد.,1.0,18.0
3430,اما من بهتون اطمینان میدم که اون مشکلش حل شدنیه اصلا نگران نباشید.,1.0,14.0
3542,بنابراین مطمئنا این نوت‌بوک‌ها مناسب انجام بازی‌های رایانه‌ای نیست.,0.0,10.0
203,این گوشی همانند اکثر گوشی‌های رده بالای این کمپانی، دارای بدنه یک پارچه پلی کربناتی است که کیفیت فوق‌العاده بالایی داشته به کاهش وزن دستگاه کمک فراوانی کرده است.,1.0,30.0
970,ولی در افقی کار کردن با کیبورد گوشی بسیار راحت لذت‌بخش است.,1.0,13.0
1226,حتی galaxy siv هم به این گوشی نمیرسه one هم بخاطر اندروید با سنس که موجب سنگین شدن سیستم عامل میشد از s۳ کم اورد ولی الان تو اپدیت ۴٫۱ تو بنچمارک حرف اول میزنه دیگه چه برسه به htc butterfly تا به امروز گوشیهای قدرتمند جهان رو باهاشون کار کردم مثل one,1.0,53.0
3017,همچنین یک برنامه بسیار کاربردی در جهت ارائه نیز می‌باشد.,1.0,11.0
6142,این نسبتا خوب است چرا که رقیبی چون lenovo b۵۷۰ میانگین روشنایی پایین‌تری دارد.,1.0,16.0
3174,این تبلت در کنار سه تبلت دیگر ۱۰ اینچی هواوی، همگی نمایندگانی شایسته برای هواوی در بازار هستند که از اعتبار این کمپانی چینی دفاع می‌نمایند.,1.0,28.0
1872,به دلیل توانایی تولید چنین بزرگنمایی زیادی، لرزش دست می‌تواند در عکس گرفته شده تاثیر زیادی داشته باشد به راحتی مقدار کمی از آن باعث به طور کلی تار شدگی عکس شود.,1.0,33.0
6732,فوق العاده خوش دست زیبا ومهمتر از همه القای یه حس خوب که یه گوشی گرون قیمت دستته ۲. سرعت بالا در load همه برنامه‌ها ۳. صفحه نمایش بینهایت زیبا زاویه دید عالی ۴.,1.0,34.0
4720,سلام این گوشیو ده روزه که خریدم ولی وقتی دماش بالا میره حدود ۳۰ دکمه بکش بکل قاطی میکنه ولی بقیه چیزاش خوبه فقط این مشکل داغ کردن اعصاب خوردیه اگه میدونستم نمی‌خریدمش.,0.0,34.0
3071,این دوربین هم همچنان می‌تواند در مودهای اتوماتیک هوشمند دستی عکاسی کند.,1.0,13.0
358,ممنون فقط دوربین جلوش از tx ضعیف تره حافظه داخلیش کم تره,0.0,12.0
1829,اما چون وقتی که یه کم گرم میشد شروع به ویبره میکرد برگشت میزد به صفحه اصلی.,0.0,18.0
1849,این گوشی از ویژگی‌ها فن‌آوری‌های جدا پیشرفته افسانه‌ای بهره می‌برد که از جمله‌ی آن‌ها می‌توان به پردازنده‌ی بسیار قدرتمند a۴، دوربین جدید vga جلویی دوربین مگاپیکسلی پشتی، طراحی کاملا نوین نمایشگر لمسی شگفت‌انگیز retina (دست کم در این مورد مبالغه نمی‌کنیم!,1.0,45.0
4267,برای کسانی که می‌خواهند با هزینه نسبتا کم، یک گوشی هوشمند داشته باشند که با سیستم عامل اندروید آن، بتوانند لذت داشتن یک گوشی اندرویدی را نیز تجربه نمایند، این گوشی یک گزینه خوب به شمار می‌رود.,1.0,40.0
4729,htc desire قادر است فایل‌های صوتی را با فرمت‌های معروفی نظیر mp۳، eaac+، wma، wav پخش نماید به دلیل بهره‌گیری از فناوری صوتی beats audio می‌توان کیفیت صدای خوبی را از آن توقع داشت.,1.0,38.0
2503,این گوشی خیلی فوق العاده است من منتظرم تا مدله one plus بیاد تا اونو بخرم,1.0,16.0
3355,این دوربین مجهز به یک فلاش pop-up قدرتمند با برد موثر ۳٫۷ متر نیز هست.,1.0,16.0
2630,با تجربه استفاده ماهه باید بگم که باتری ۲۱۰۰ میلی آمپری بسیار کم به نظر می‌رسه در بعضی موارد در اجرای بازی‌های بعدی استفاده از wifi مجبورید به شارژ بیش از یک بار برای هر روز وصل کنید.,0.0,39.0
3505,به نظرم در خریدش شک نکنید,1.0,6.0
5371,این دو دوربین توانایی فیلم برداری با رزولوشن hd را نیز دارند که عالیست.,1.0,15.0
3578,کیفیت بسته بندی زمان ارسال عالی بود امکانات انتظارات اولیه (هنوز کار زیادی نکردم باهاش) با اطلاعات ارائه شده مطابقت داشت در مجموع همه چیز خوب بود.,1.0,30.0
3302,به خصوص اینکه با پردازشگر تصویر truepic iii نیز همراه شده تا پردازش عکس‌ها خیلی با کیفیت‌تر با سرعت بیشتری انجام گیرد.,1.0,23.0
4687,این بسیار باعث خشنودیست که اپل بالاخره تصمیم گرفت که از پورت usb ۳٫۰ به جای پورت usb ۲٫۰ در لپ‌تاپ‌های خود استفاده کند.,1.0,25.0
6685,بسیار به صرفه است,1.0,4.0
5679,در قسمت پشت این دوربین نیز نمایشگر ۲٫۷ اینچی ۲۳۰۰۰۰ پیکسلی قرار گرفته که نسبت به این دوربین امکانات کیفیت خیلی خوبی را ارائه می‌دهد.,1.0,26.0
2717,لولاها چارچوب لپ‌تاپ بسیار مقاوم ساخته شده به راحتی می‌توانند ضربات کوچک ایجاد شده، مصارف روزمره را تحمل کرده دچار خمش یا پیچش نخواهند شد.,1.0,26.0
114,همه چیزش عالیه!,1.0,4.0
5998,یه بار هم از دستم افتاد هیچیش نشد.,1.0,9.0
1114,مثل همیشه عالی کارامد,1.0,4.0
4576,به لطف سخت افزار مناسب، نسخه ۴٫۱ اندروید صفحه نمایش بزرگ، مرورگری اینترنت برای کاربران galaxy iii mini به کاری لذت بخش تبدیل خواهد شد.,1.0,27.0
5255,اگه به دنبال ثبت لحظه هاتون با بهترین کیفیت هستین مورد استفادتون دوربین‌های کامپکت هست کانن sx۲۱۰ به بالا بهترینشون هست sx۲۱۰ نیست اما مدل‌های بالاتر مشابه که یکی از اون موارد sx۲۶۰ هست موجوده بسیار راحت پر کار برده در عین کوچکی راحتی در حمل دارای امکاناتی بسیار بالاتر از دوربین‌های هم سطح خودشه داشتن مد‌های دستی شما رو برای عکاسی حرفه‌ای تا حد بسیار بالایی یاری میکنه مطمئن باشید اگر نیاز به دوربین‌های خانگی دارین با خرید سری sx۲۱۰ تا sx۲۶۰ بسته به مدل نیازتون هرگز پشیمون نمیشین موفق باشین,1.0,97.0
4892,همچنین عملکرد گوشی در زوایای مختلف زیر نور مستقیم آفتاب مقداری کاهش می‌یابد که برای یک صفحه نمایش در این سطح چندان دور از انتظار نیست.,0.0,27.0
189,به دلیل کاهش ضخامت وزن دستگاه، به ناچار باتری ضعیف‌تری نسبت به مدل اولیه padfone در داک تبلت قرار داده است (داک مدل پیشین دارای باتری ۶۶۰۰ میلی آمپر-ساعت بود).,0.0,33.0
6758,سلام به همه این گوشی از نظر قیمت نسبت به کارایی عالی (البته من گوشی رو ۳۲۰ خریدم من با ace هم کار کردم هر دو خوبن اما live سی‌پی‌یو رم بیشتر داره دوربینش هم بهتره اما ace ال سی دی بزرگتر خوش دست تره (کلاسیکه) باطری هم live بیشتر نگه میداره اما ۱۲۰۰ میلی آمپره شاید ace گه دسته من بود باطری ضعیف‌تری داشت چون اون ۱۳۵۰ میلی آمپر,1.0,73.0
1576,به نظرم تو این رنج قیمت بهترین گوشی.,1.0,9.0
4663,باسلام متاسفانه در معرفی این محصول توجهی به یکی از مهمترین امکانات آن یعنی بخش fitness آن نشده,0.0,18.0
2689,قبول کنین اپل یه چیزی داره که بقیه گوشی‌ها ندارن، اونم اپل بودنشه.,1.0,15.0
3565,عکس هایی که با دوربین گرفته می‌شوند کمی soft هستند می‌توانید با استفاده از تنظیمات داخلی خود دوربین یا بعدا با فوتوشاپ مقداری sharpness به آن‌ها اضافه کنید.,0.0,28.0
2421,کیفیت پرینت در هر دو رزولوشنی که گفتیم، خیلی خوب است رنگ مشکی کاملا مشخص غلیظ می‌باشد.,1.0,19.0
3164,همان لبه‌های منحنی همان کلید دایره‌ای home در قسمت پایین البته نهایتا همان صفحه نمایش رتینای دوست داشتنی، البته کمی بزرگ‌تر.,1.0,23.0
4648,همچنین از لرزش‌گیر دست هم بهره می‌برد تا عکس شما بر اثر لرزش دستتان تار نشود.,1.0,17.0
1462,برخلاف دوربین x۱۰۰، این دوربین از شاتر سنتی focal plane بهره می‌برد که اصولا شاتر پر سر صداتری است.,0.0,22.0
3102,بهترین وسیله برای نگه داشتن بکاپ با امنیت بالا با استفاده از نرم افزاری که تو خودش داره.,1.0,19.0
5566,بعلاوه توانایی بسیار عالی را نیز در حذف نویز پس زمینه دارد.,1.0,13.0
817,به احتمال زیاد این افزایش کیفیت تصاویر به دلیل بهره گیری از پردازشگر digic بوده است.,1.0,16.0
5863,از xperia mini بهتره از نظر lcd (بزرگ تره) دوربین مکالمه ویدئویی داره xperia miniنداره صدای باند هاش خیلی بیشتره کلا از اون بهتره.,1.0,27.0
6794,این دیگه آخرشه.,1.0,4.0
3647,همه چیز این دوربین عالیه.,1.0,6.0
1446,دوربین tf۷۰۰ نیز نسبت به مدل‌های پیشین بهبود فراوانی یافته در کل می‌توان گفت که یکی از بهترین دوربین هاییست که تا به امروز بر روی تبلت‌ها دیده بودیم.,1.0,30.0
4888,وجود تنظیمات مختلف در رابط کاربری دوربین قابلیت ژئوتگینگ یکی از نقاط قوت دوربین این گوشی هستند.,1.0,18.0
3083,صفحه نمایشگرشم نسبتاعالی درحد راضی کنندست.,1.0,7.0
1767,htc در ارائه گوشی‌های میتنی بر اندرید از رقبا داره میزنه جلو تا حالا شرکت دیگری اندرید ارزان قیمت نداده,1.0,20.0
4028,مخصوصا شفافیت بالا نویز کم زوم بالا با کیفیت فوق العاده خوب.,1.0,13.0
1926,کیفیت صفحه‌نمایشش هم بر خلاف عقیده واقعا خوبه.,1.0,9.0
3839,همچنین یک فلاش بالا جهنده نیز در بالای آن وجود دارد که بتوانید در فقدان نور هم عکاسی کنید.,1.0,20.0
4840,من حدود دو هفته میشه که خریدمش واقعا نسبت به قیمتش عالیه.,1.0,13.0
4066,بسیار از محصولات این شرکت راضی هستم,1.0,7.0
3819,حتی در مصارف سنگین‌تر، galaxy tab ۱۰٫۱ می‌تواند حداقل یک روز کامل را شارژ دهی کند.,1.0,19.0
4126,تنها ایرادی که بهش میگیرم برای من بسیار مهم هست عدم نصب سیم‌کارت برای استفاده از اینترنت اونه چون من تمایل دارم در جاهای مختلف از امکان آن لاین بودن برخوردار باشم که با فقط با وای فای نمیشه.,0.0,40.0
3727,به علاوه این تبلت به طور پیش فرض از سیستم عامل اندروید ۴٫۰ استفاده می‌کند که بسیار روان‌تر بهینه‌تر از نسخه‌های پیشین است.,1.0,24.0
255,اما طراحی کلی ios تنوع جدیدی را در اختیار کاربران قرار نمی‌دهد به غیر از افزوده شدن یک ردیف بیشتر به برنامه‌های آن (به علت بزرگ‌تر شدن صفحه نمایش) تغییر دیگری را شاهد نیستیم.,0.0,37.0
662,شاید نقطه قوت این گوشی سیستم عاملش باشه..,1.0,10.0
2908,بهتر از این نمیتونید پیدا کنید,1.0,6.0
2228,عکس‌ها تا‌ایزو ۱۶۰۰ نویز ندارند در‌ایزو ۳۲۰۰ مقدار خیلی کمی مشاهده می‌شود.,1.0,13.0
2828,کیفیت بلندگوها بسیار شفاف است حتی صدای بیس تولید شده نیز کاملا رضایت بخش است به راحتی می‌توانند جوابگوی نیاز اکثر کاربران باشد.,1.0,24.0
2898,این بار اپل دقت آی پد۲ را چهار برابر کرده بود آی پد۳ تراکم پیکسلی بسیار بالای ۲۶۴ppi را ارائه می‌کرد که برای یک تبلت، واقعا شگفت انگیز بود.,1.0,31.0
3466,سرعت بالا دقتش آدمو تشویق میکنه که از ترک دیوار تا چهره تک تک فامیل باهاش عکس بگیره,1.0,18.0
684,دوربین خوبیه فقط صدای موتور زومش زیاد است,0.0,8.0
4954,من این دوربین رو از دیجی کالا گرفتم باید بگم واقعا از خریدش راضی هستم,1.0,15.0
5835,واقعا که شیک عالیه.,1.0,5.0
4004,به همین دلیل نگه داشتن آن حتی با یک دست بسیار راحت لذت بخش است.,1.0,16.0
4543,فیلم‌برداری این گوشی نیز همانند عکس‌برداری آن بسیار عالیست.,1.0,10.0
1670,در کل، با دیدن iphone محو کیفیت زیبایی آن خواهید شد.,1.0,12.0
2495,سونی با معرفی این گوشی به خوبی فضای خالی بین go tipo را حل کرده احتمالا همین نمایشگر بزرگ‌تر آن نیز هرچند که رزولوشن به نسبت پایینی دارد، منجر به استقبال گسترده از آن خواهد شد.,1.0,37.0
6292,خودم واقعا لذت بردم.,1.0,5.0
1594,کوچک سازی یک dslr کار چندان ساده‌ای نیست.,0.0,9.0
6444,کمبود رم توی اس واقعا آزار دهنده نیست,1.0,8.0
5653,در کل همانطور که گفتیم، wx۱۷۰ wx۱۰۰ از جمله پیشرفته‌ترین دوربین‌های سری wx تا زمان خود می‌باشند از فن آوری‌های بسیار عالی بهره می‌برند.,1.0,28.0
3003,تصاویر گرفته شده با دوربین این تبلت کیفیت فوق‌العاده بالایی دارند.,1.0,12.0
3734,تصاویر گرفته شده با دوربین این تبلت کیفیت فوق‌العاده بالایی دارند.,1.0,12.0
5929,همچنین با کابل usb اتصال به کامپیوتر آن را شارژ نمایید.,1.0,12.0
5197,متاسفانه این صفحه نمایش کاملا براق بوده در ضمن روشنایی آن نیز کم است.,0.0,15.0
3585,این هارد از همه نظر عالیه فقط یه موردی داره اونم اینه که قسمت اتصال کابل به هارد سریع لق میشه کابل خوب جا نمی‌خوره بعد موقع کار قطع وصل میشه,1.0,31.0
5775,به هر صورت این ویژگی می‌تواند محبوب عکاسانی که زیاد مسافرت می‌کنند قرار گیرد.,1.0,15.0
5546,در شرایط نوری خوب، این دوربین می‌تواند عکس‌های با کیفیت خیلی بالا تولید کند با توجه به رزولوشن بالایی که سنسور دارد، تفکیک جزئیات خیلی خوب صورت می‌گیرد.,1.0,31.0
4897,در ایزو ۴۰۰ مقداری نویز کاسته شدن از غلظت رنگ‌ها مشاهده می‌شود.,0.0,13.0
6701,هم نمایشگر ابعاد بزرگ خوبی دارد هم اینکه رزولوشن آن فوق العاده است.,1.0,14.0
4507,به روز رسانی: کیفیت عکس‌های گرفته شده توسط x-pro۱ در حد فوق العاده باور نکردنی است.,1.0,18.0
2166,بعلاوه برای اینکه به ویژگی کاربر دوستانه بودن ۶۰۰d افزوده شود، این دوربین از یک سری creative filter یا فیلتر خلاقانه بهره می‌برد.,1.0,25.0
5323,این امکان باعث می‌شود که این دوربین‌ها کاملا مناسب کاربران مبتدی قرار گیرند.,1.0,14.0
6507,آیفون شروعی برای سقوط اپل؛ به نظر من برای شرکت خلاق نوآوری مثل اپل ارائه این گوشی یک قدم به عقب بود تا رو به جلو برعکس گوشی‌های جدید خانواده گالکسی سامسونگ s۳ note۲ این گوشی هیچ چیز جدیدی برای ارائه نداشت.,0.0,44.0
3081,دسترسی بیسیم پخش محتواهای مختلفبا قابلیت اشتراک گذاری بیسیم می‌توانید بیشترین بهره را از محتواها تجهیزات خود ببرید.,1.0,19.0
1321,حتی الان هم که وارد بازار شده جا افتاده، این گوشی بهترینه، تمام مشخصات رو داره علاوه بر اون خوش دست تره، باطریش قابل تعویضه، زیباتره، خوشبختانه سونی توی تولیدش از بهترین سخت افزارهاش استفاده کرده فقط چون معرفیش با مقارن شد تبلیغات زیادی راجع بهش نکرد.,1.0,53.0
2722,این گوشی عالیه فقط منتظریم بیاد,1.0,6.0
3942,همچنان در رابط کاربری این گوشی هم شاهد صفحه‌ی خانگی هستیم که امکان حذف هیچ کدام وجود ندارد.,0.0,19.0
5728,در مقابل رقبایی مانند ipad mini یا nexus یا حتی fonepad، از نظر کیفیت ساخت باید note را در آخرین رده قرار دهیم.,0.0,25.0
1010,سخت افزار عالی طراحی زیبا اما نکسوس بخاطر اندازه lcd فکرکنم بهتر بود چون این یکی یکم بزرگه نمیدونم میشه با یه دست راحت باهاش کار کرد.,1.0,28.0
2062,حال به این مشخصات، داک تبدیل این گوشی به تبلت را نیز که اضافه نمایید، واقعا هیجان انگیز است.,1.0,22.0
