,comment,length,label_id
3759,اگر نداشته باشید تلوزیون اصلا کاربرد نداره ۲. این تلوزیون بسیار خوبی است ولی تو ایران زیاد کار آمد نیست زیرا بیشتر برنامه‌های کاربردیش مثل برنامه اصلی ورزش تلوزیون فیلتر است نمی‌تونید از برنامه‌های کاربردی ان استفاده کنید (البته ایران خودش چند تا برنامه بازی عالی در سامسونگ اپس گذاشته است) در پایان باید به مرورگر خود تلوزیون بپردازم که واقعا عالیه من از اون راضی بودم ولی اگر کاربران بتوانند برای راحتی خودشون یک کیبرد موس بی سیم هم بگیرند راحت‌تر می‌توانند از مرورگر استفاده کنند کیفیت تلوزیون که برای شبکه‌های ایران کیفیت خوبی ندارد ولی برای فیلم‌های فول اچ دی عالیه امیدوارم تونسته باشم راهنماییتون کرده باشم,108.0,3
611,ولی اگر تمایل به گوش کردن به موسیقی یا تماشای ویدئو با صدای بلند دارید، پیشنهاد می‌کنیم که از هدفون یا از بلندگوهای خارجی استفاده کنید.,28.0,2
5174,من با این گوشی حدودا هفته کار کردم واقعا نسبت به iphone هم انتن دهی بهتری داره هم تاچش خیلی بهتر شده واقعا عالیه,24.0,4
84,منم این هارد رو دوشنبه سفارش دادم چهارشنبه رسید دستم,10.0,2
5452,صفحه نمایش اینچی با کیفیت فوق‌العاده در کنار پردازنده قدرتمند به شما این امکان را می‌دهد تا از بهترین تجربه کاری با تمامی برنامه‌ها بازی‌های سیستم عامل ios بهره‌مند شوید.,31.0,4
1593,بسیار خوب، st۶۸ کمی گران قیمت‌تر است که به دلیل سنسور تصویر با رزولوشن دو مگاپیکسل بیشتر آن می‌باشد.,22.0,2
2715,اگر میگن این گوشی باتریش ضعیفه جیو اصلا باتری نداره.,11.0,3
85,همه چی عالی ولی باطریش ضعیفه مدام شارژ میخواد ولی کیفیت عکساش توپه.,14.0,2
5692,فیلم‌برداری xperia tx نیز شرایط یکسانی دارد بسیار خوب است.,11.0,4
1087,با اینکه در کل مانند همگی محصولات اپل، این گوشی نیز از بهترین مواد تشکیل شده است اما بدنه آلومینیومی آن به راحتی خراشیده می‌شود احتیاج به مراقبت بیشتری دارد، که البته با قرار دادن یک محافظ بر روی آن این مشکل به طور کلی برطرف می‌گردد.,49.0,2
3839,. اصلا در خریدش شک نکنن چون واسه این اشخاص خیلی خوبه.,13.0,3
1285,البته این فقط در مود jpeg کار می‌کند.,9.0,2
5342,مسلما همکاری سامسونگ با کمپانی معتبر wacom در زمینه ساخت قلم باعث گردیده که قلم‌های ساخت سامسونگ عملکرد فوق‌العاده خوبی داشته باشند که در مورد این قلم نیز این‌چنین است.,30.0,4
3282,چنین دوربینی کاملا می‌تواند استفاده‌ی حرفه‌ای داشته باشد مورد علاقه‌ی بسیاری از عکاسان قرار گیرد.,15.0,3
700,هرچه کنتراست بیشتر باشد رنگ مشکی تاریک‌تر رنگ سفید روشن‌تری خواهیم داشت، بنابراین تصویر با کیفیت بالا نمایش داده خواهد شد.,20.0,2
2929,از آن جایی که یک دوربین فیلم برداری آماتوری است، بنابراین مجهز به مود فیلم برداری اتوماتیک هوشمند یا همان smart auto می‌باشد.,25.0,3
2404,به دلیل موجود بودن در کانفیگ‌های گوناگون، لپ‌تاپ‌های سری می‌توانند هر نوع کاربری را راضی نگاه دارند.,19.0,3
1134,اما elph ۵۲۰ hs نیز همانند بیشتر دوربین‌های هم رده، یک دوربین point to shoot است.,18.0,2
401,سیستم عامل این مدل، نسخه ۲٫۳ از سیستم عامل اندروید می‌باشد که همراه با رابط کاربری ال‌جی با نام s-class بر روی گوشی قرار گرفته است.,27.0,2
368,سخت افزار متاسفانه کمپانی نوکیا در مورد قطعات داخلی این گوشی اطلاعات چندانی را منتشر ننموده است، اما به هر حال برای یک گوشی دارای سیستم عامل s۴۰ سخت افزار قوی اهمیتی ندارد.,35.0,2
6595,این کار در واقع سر صدای زیادی را‌ ایجاد می‌کند live view هم برای لحظه‌ای قطع می‌شود.,18.0,1
3949,این در حالیست که فیلم برداری ۷۲۰p hd با سرعت فوق العاده ۱۲۰ فریم بر ثانیه انجام می‌گیرد بدین ترتیب می‌توانید از لحظات ورزشی خود فیلم‌های hd اسلوموشن هم داشته باشید!,32.0,4
1526,سلام به همه دوستان که خریدار این دوربین هستن من ماه پیش با کلی تحقیق این سایت اون سایت گشتن با بودجه‌ای که داشتم تصمیم گرفتم sx۴۰ بخرم واقعا ازش راضیم برای کسی که مبتدیه میخواد کارشو شروع کنه تو عکاسی عالیه میگن ۱۲٫۱ ولی خیلی کیفیتش خوبه یه زومش: عالیه چون مثلا یه فاصله خیلی دور میاری نزدیک بعد با کیفیت عجیب عکس میگیره ادم خیلی لذت میبره مثلا فاصله تا ۱کیلومترو (تو طبیعت) میاری جلو نزدیک نزدیک بعد یه عکس با کیفیت بالا خیلی زومش جالبه ولی جدا از زوم هیچ کمبودی نداره با قیمت روز به نظرم می‌ارزه حالا امروز امدم تو سایت دیدم sx۵۰ آمده شاید قبلا بوده من ندیدم من که تازه دیدم یه مقایسه کردم با مدله قبلیش هیچ تغییره محسوسی نکرده ایزوش خیلی خوب شده قبول دارم زومش ۳۵ که فوق العادست پس ۵۰ چی میتونه باشه (فکر نکنم نیاز بشه) فقط تنها فکر کنم چیزی که سرتر با فرمت raw ذخیره میکنه که مدله قبلش نیست بعضی جاها هم sx۴۰ سرتره حالا باز تصمیم با خودتونه اگه اختلاف قیمتشون براتون مهم نیست زیاد sx۵۰ خوبه ولی اگه نه جدی دارم میگم زیاد تفاوت نداره شک نکن sx۴۰,206.0,2
2013,یه گوشی عالی ولی یکم لقه در کل بگم خوبه,10.0,3
6810,با حافظه ۱۶ گیگ (که فقط گیگ اون پر شده) خیلی کند شده مدام هنگ می‌کنه.,19.0,0
6303,وقتی این گوشی را برای اولین بار در دست میگیرید، انتظار وزنی بیشتر ساختاری فلزی مستحکم‌تر را دارید، ممکن است در وهله اول کمی شما را مأیوس کند.,31.0,1
2641,در این رابط کاربری، امکان عکاسی در حالت‌های مختلف را خواهید داشت.,13.0,3
4843,فایل‌ها برنامه‌های خود را به اشتراک گذاشته، ذخیره ساخته از آن‌ها لذت ببرید راحت‌تر از همیشهبه یمن وجود قابلیت‌های ارتباطی هوشمند می‌توانید تجربه مشاهده لذت بخش‌تر هوشمندانه‌تری داشته باشید.,30.0,4
378,اثر هر کدام را همان جا می‌توانید به صورت زنده مشاهده کنید تا دیگر نیازی به گرفتن عکس برای تست هرکدام نباشد.,23.0,2
3595,به نظر من که با توجه امکاناتش قیمتش خیلی مناسبه.,11.0,3
5760,به هر صورت همانطور که گفتیم، hx۱۰v یکی از پیشرفته‌ترین، پر امکانات‌ترین خوش ساخت‌ترین دوربین‌های کامپکت سوپرزومی است که تا به حال دیده‌ایم.,28.0,4
6085,۴- این گوشی دارای خروجی تلویزیون tv-out یا hdmi نیست (مثل اینکه در میان گوشیهای دو سیم کارته اپیدمی است).,23.0,1
793,نمایشگر این گوشی ۳٫۵ اینچی با رزولوشن hvga است.,10.0,2
800,برای کسی که اندازه واسش مهم نیست عالیه ولی من ایپد مینی رو پیشنهاد میکنم واسه اونایی که یه تبلت جمع جور احتیاج دارن با تشکر از دیجی کالا,29.0,2
1095,این گوشی رو از دی جی کالا خریدم امروز رسید دستم.,12.0,2
916,سفارش دادم زیاد بررسی کردم تا تصمیم گرفتم بخرم دستم برسه میام نقد میکنم,14.0,2
6254,در ضمن در مورد باطری این رو هم بگم که مسلما باطری ضعیفه چون این توان انرژی رسانی به صفحه نمایش با این همه تعداد پیکسل رو که خودش هم از جنس ال سی دی پر مصرف هست رو تا بیشتر از یا ساعت نداشته باشه.,47.0,1
1216,کیفیت عملکرد واقعی ممکن است بسته به مشخصات فنی مدل‌ها محدودیت‌های سخت‌افزاری متفاوت باشد.,15.0,2
1423,در آینده با به بازار آمدن این دوربین سعی می‌کنیم آپدیت هایی را بر روی این نقد بررسی اعمال کنیم.,21.0,2
1752,به عنوان مثال اگر سیستم شما ویروسی باشد یا دچار مشکلات رجیستری باشد نتوانید net framework را نصب کنید در نتیجه قادر نخواهید بود اصولا اتوران آن مجموعه را ببینید درنتیجه قادر به نصب هیچ برنامه دیگری از روی دی وی دی‌ها هم نخواهید بود.,44.0,2
5393,"من این هارد رو سه روز پیش سفارش دادم امروز رسید دستم سرعتش عالیه, نرم افزاری که روی خودش هست خیلی به کار میاد اگر به دنبال یه هارد همه چی تموم میگردین این عالیه شک نکنین.",38.0,4
3498,اگرچه این گوشی از لحاظ سخت افزاری چندان قوی نیست اما رابط کاربری ساده جذاب، طراحی زیبا قیمت رقابتی این گوشی آن را به گزینه‌ای مناسب در بین گوشی‌های هم رده خود بدل می‌کند.,36.0,3
6357,من از این سایت دوربینو خریداری کردم این دوربین زوم بسیار بالا قوی داره ولی متاسفانه تراکم پیکسلیش پایینه,19.0,1
4015,نتیجه تست‌های مختلف صورت گرفته توسط سایت معتبر آناندتک نشان می‌دهد که باز هم باید آیفون را قدرتمندترین گوشی موجود تا به امروز بنامیم.,25.0,4
366,بررسی اجمالی بر روی این دوربین داشتیم ولی سعی می‌کنیم که به هنگام به بازار آمدن این دوربین نقدی عمیق‌تر هم بر روی آن ارایه دهیم.,27.0,2
781,از نظر ظاهری هم ۶۰۰d بسیار شبیه به دوربین مدل پیشین خود یعنی ۵۵۰d می‌باشد فقط تغییراتی جزئی را شاهد هستیم که آن هم برای سازگاری با نمایشگر چرخنده بوده است.,33.0,2
6042,در تست استاندارد مرورگری اینترنت از طریق wi-fi، مدل‌های مختلف با توجه به سایز صفحه نمایش نوع پردازنده پردازشگر گرافیکی، توانستند بین تا ۳:۳۰ ساعت شارژدهی کنند که در مقایسه با آلترابوک‌ها سایر لپ تاپ‌های باریک، میزان نسبتا ضعیفی محسوب می‌گردد.,45.0,1
2619,اندودی که سامسونگ بر روی شیشه‌ی نمایشگر به کار برده وظیفه‌ی خود را به خوبی انجام می‌دهد.,18.0,3
6360,والا ۵۱۰۰ نیکون هم انتخاب خوبیه بدیش محدودیت دقیقه‌ای ضبط ویدئو است.,13.0,1
4125,فیلمبرداری فوق العاده عکس‌های واضح با نویز کم شما رو شگفت زده میکنه.,14.0,4
5812,هرچند که ۶d برای کاربران dslr‌های aps-c که وسوسه ارتقاء به فول فریم را دارند ساخته شده، ولی به هر صورت به عنوان دوربینی فول فریم، لنزهای ef-s که مخصوص aps-c‌ها ساخته شده‌اند بر روی این دوربین جوابگو نیستند.,42.0,1
361,اما این کار فقط تا ۱٫۵ ثانیه ۱۵ عکس می‌تواند صورت گیرد.,13.0,2
304,قبل‌تر در نقد بررسی برادر بزرگ‌تر این تبلت یعنی note ۱۰٫۱ در مورد قابلیت لمس شناور توضیح دادیم، بر طبق این قابلیت، شما برای اینکه به دستگاه بفهمانید که به کدام نقطه اشاره می‌کنید لازم نیست که حتما آن‌را لمس نمایید با مقداری فاصله نیز دستورات را درک می‌نماید.,53.0,2
6130,دیگه حرفی نداشت البته با کیفیت دوربین دوم میتوان کنار اومد اما باطریش ضعیفه آخه چرا هیچ شرکتی تو دنیا یه گوشی کامل بی نقص تولید نمیکنه,27.0,1
3808,همانند اکثر محصولات اندرویدی ایسوس، padfone نیز از رابط استاندارد اندروید ۴٫۰ استفاده می‌کند که کمی توسط ایسوس تغییر یافته است از آنجایی که padfone از پردازنده پردازشگر گرافیکی قوی‌تری نسبت به مدل پیشین استفاده می‌کند، محیط سیستم عامل روان‌تر سریع‌تر است.,44.0,3
1970,این دوربین از نظر کنترل‌ها هم کاملا غنی می‌باشد.,10.0,3
4652,در ضمن حالت واید بسیار عالی بزرگنمایی ۱۱x را نیز ارایه می‌کند.,14.0,4
538,netframework ۳٫۵ به صورت پیش‌فرض برروی ویندوز است که این مشکل نیز با اضافه کردن نسخه تا ۳.,18.0,2
6284,صفحه نمایشش معلومه که زیر آفتاب به درد نمیخوره,9.0,1
1023,سطوح به‌سازی ارائه شده توسط کیت تکامل هوشمند smart evolution به سال خرید آن بستگی دارد.,17.0,2
1291,پیشرفت بعدی ios در مورد برنامه siri است که با معرفی در iphone ۴s شگفتی همگان را برانگیخت حالا با بهبود آن، کاربرد‌های بیشتری نیز پیدا نموده است.,29.0,2
2032,به هر صورت به نظر می‌رسد برای مبتدیانی که به کار کردن با نمایشگرهای لمسی گوشی‌های تلفن همراه تبلت‌های خود عادت کرده‌اند، قرار دادن نمایشگر لمسی بر روی dslr سطح مبتدی فکر بدی نباشد.,36.0,3
3568,بدین ترتیب به آسانی می‌توانید عکس سوژه‌های بسیار کوچک را هم ثبت کنید.,14.0,3
5576,لولایی که نمایشگر را نگه می‌دارد کاملا مستحکم است دکمه‌ها نیز بازخورد خیلی خوبی دارند.,16.0,4
6509,درکل مجموعه سخت افزار نرم افزار ایفون در مقایسه با رقیبان مطابق انتظارات قبلی ظاهر نشده است.,17.0,1
445,xbox ۳۶۰ slim با ظرفیت‌های مختلفی به بازار عرضه شده است.,11.0,2
3169,بعلاوه از فن‌آوری لمسی خازنی بهره می‌برد.,8.0,3
6698,در پایان اینکه بر اساس این همه شایعات در مورد این گوشی بی صبرانه منتظرش بودم در فکر خریدنش بودم ولی حالا نه با توجه به قیمتی هم که خواهد داشت.,31.0,0
208,همچنین در کانفیگ هایی از مدل‌های چهار هسته‌ای سری پردازنده‌های amd نیز استفاده شده.,15.0,2
3145,این هم دقیقا به دلیل بهره گیری از لنزی کوچکتر می‌باشد.,12.0,3
2122,اما با وجود امکانات مختلف ارتباطی بر روی این تبلت مانند۴g، wi-fi، ۳g gprs، به راحتی با حداکثر سرعت می‌توان به مرورگری اینترنت پرداخت.,28.0,3
2371,فرمت نخست برای تماشا بر روی سینمای خانگی مناسب است فرمت دوم فرمت مناسب‌تری برای استفاده بر روی رایانه می‌باشد.,21.0,3
4836,واقعا گوشی خوبیه شک نکنید شگفت زده میشید اپدیت ۴٫۲ هم بزودی براش میاد همراه با سنس,17.0,4
3400,صدای اسپیکرش خوبه خروجی هندزفریش عالیه فقط باید برایش یک هندزفری استریو تهیه کنید چون هندزفری‌های خودش جالب نیستن یه مورد که تنظیمات اکولایزر فکر نکنم داشته باشه، من که پیدا نکردم.,34.0,3
1304,نکته‌ی جالب این است که به محض روشن کردن دوربین فلاش به بالا می‌پرد.,15.0,2
936,تا حالا تستش نکردم.,5.0,2
1824,جایگاه بیشتر کنترل‌ها دکمه‌ها نیز شبیه به دوربین ۵۵۰d می‌باشد اگر هم تغییری رخ داده بیشتر تزئینی بوده است.,20.0,2
653,به هر صورت همانطور که گفتیم، hx۲۰۰v تنها نسخه‌ای بهبود یافته از hx۱۰۰v می‌باشد که حتی از نظر ابعاد، وزن طراحی ظاهری نیز تفاوت چندانی با آن ندارد.,35.0,2
1647,فارسی هم نسخه گوشی من واسه تایپ اسمس داره منتها منوی فارسی نداره.,14.0,2
5853,ایزو ۸۰۰ مقدار بیشتری نویز، کاسته شدن از غلظت رنگ‌ها جزئیات را نشان می‌دهد.,16.0,1
5777,تازه اگر در هنگام اتصال به hdtv از طریق پورت hdmi به مود sleep بروید اول باید کابل hdmi را در بیاورید سپس آن حرکت را انجام دهید.,29.0,1
4381,همه چیزش عالیه!,4.0,4
2501,درسته منو فارسی نداره ولی حداقل میتونین مطمئن باشین که یه دوربین ساخت ژاپن خریدین نه ساخت چین.,19.0,3
3871,این نوع سنسورها که به سنسورهای hs هم معروف هستند در شرایط نوری ضعیف عملکرد بهتری را از خود نشان می‌دهند در ایزوهای بالاتر توانایی تولید عکس‌های با کیفیت‌تری را دارند.,32.0,3
2983,با این قیمت میشه یه galaxy ace خرید که هم پردازنده قویتری داره هم دوربینش فلاش داره,17.0,3
6065,مشکل گرفتن که آخر هم هارد رو بهم ندادن گفتن زنگ می‌زنن.,13.0,1
1806,به تعداد هسته‌ها نگاه نکنید دوستان!,7.0,2
6258,کیفیت اسکن عکس‌های رنگی هم خیلی خوب است ولی همچنان همان مشکل در رنگ خاکستری به چشم می‌خورد.,19.0,1
6048,اندرویدشو آپدیت کردم سرعتش اومده پایین,6.0,1
6742,من از این تبلت خریدم مهمترین نکته اینکه از نظر من باطریش ضعیف است بعد یک ماه استفاده از این تبلت مقایسه آن با تبلت رفقا پیشنهاد میکنم این تبلت نخرید cpu آن فقط اسمش چهار هسته‌ای به نسبت ایسوس سامسونگ واقعا ضعیف است عرایض بنده را فقط وقتی متوجه میشوید که در عمل کارایی این تبلت با یکی دو برند معتبر مقایسه کنید به هر حال انتخاب با خودتونه شاید بهتر باشه کمی صبر کنید یه تبلت بهتر بخرید.,81.0,0
615,شاید همگان انتظار داشتند همان گونه که در نسل چهارم نسبت به نسل سوم گوشی‌های اپل، طراحی آن دست‌خوش تغییرات عمده‌ای گشت، در مورد نسل جدید نیز این اتفاق بی افتد که این‌گونه نشد.,37.0,2
5696,من این دوربین رو خریدم واقعا عالی هست از همه نظر مخصوصا فیلمبرداری که کیفیتش واقعا حرف نداره,18.0,4
1046,این فیلم برداری می‌تواند با سرعت ۳۰ فریم انجام شود امکان استفاده از زوم کامل اپتیکال ضبط صدای استریو نیز با آن وجود دارد.,25.0,2
5988,گوشی بدی نیست اما انتظارات زیادی از این گوشی داشتم.,11.0,1
3734,این دوربین هم همانند m۵۲ مجهز به مودهای فیلم برداری مختلفی می‌باشد که از آن جمله می‌توان به مود intelligent auto اشاره کرد.,25.0,3
6674,تنها مشکلی که داره اینه که وقتی خاموش روشن میکنی تاریخش عوض میشه اون موقع اس ام اس‌ها هم جابجا میشن.,22.0,1
468,در شرایط نوری خوب، ویدیوها کاملا طبیعی به نظر می‌رسند هیچ گونه غلظت اضافی رنگ وجود ندارد.,19.0,2
2618,از دیگر شکاف‌های موجود بر روی دستگاه می‌توان به شکاف کارت حافظه، جک هدفون، خروجی tv درگاه اتصال داک کیبورد اشاره نمود.,25.0,3
2952,رم ۵۱۲ حافظه داخلی گیگ که البته بنظر میرسه بیشتر از گیگ در دسترس کار بر نباشه برای این مدل مناسب بنظر میرسد چون مدل هایی با این امکانات گرونتر هستن.,32.0,3
3024,یک movie digest option هم وجود دارد که به پیچ تنظیم اضافه شده است کاملا جدید می‌باشد.,17.0,3
1585,دکمه مکالمه یا home تنها برآمدگی قسمت شیشه‌ای صیقلی جلوی گوشی است.,13.0,2
1513,پس چه باید کرد؟,5.0,2
2183,اما desire با دارا بودن پردازنده یک گیگاهرتزی، صفحه نمایش اینچی، دوربین مگاپیکسلی نسخه ۴٫۰ سیستم عامل اندروید، امکانات متنوع مناسبی را در قالب یک گوشی هوشمند دو سیم کارته در اختیار کاربران قرار می‌دهد.,39.0,3
6697,۲- نداشتن باتری لیتیومی قابل شارژ ۳-نداشتن لرزشگیز ۴-نا توانی در استفاده از زوم اپتیکال در حالت فیلم برداری این مطالب حاصل تجربه ماه استفاده از این دوربین می‌باشد.,30.0,0
3125,هم چنین این برنامه، دارای ابزاری اختصاصی برای حفاظت از اطلاعات شخصی جلوگیری از جعل اینترنتی هویت شماست، نرم‌افزارهای جدید پاندا، یکی از بهترین روش‌های موجود برای پیشگیری از کلاهبرداری‌های آنلاین حملات هک، ‌نفوذهای غیرمجاز آلودگی‌های ویروسی محسوب می‌شود.,44.0,3
26,کنترل هایی چون دایل قسمت بالایی، دکمه iso، جبران نوردهی af/ae lock.,15.0,2
4947,این دوربین از لنز بسیار عالی ۲۴-۸۴۰ میلی‌متری بهره می‌برد.,13.0,4
5666,نرم افزارسامسونگ در تبلت جدید به روز خود از آخرین نسخه از سیستم عامل محبوب قدرتمند اندروید یعنی نسخه استفاده نموده است.,22.0,4
2513,اما بعد از اینکه مدتی با آن کار می‌کنید، می‌بینید که آن طور هم که قبلا به نظر می‌آمد نیست حس خوبی با آن خواهید داشت.,27.0,3
4250,من تازه این هاردو خریدم واقعا پرسرعته حرف نداره.,10.0,4
3405,فکر کنم برای کسایی که نمیخوان کارای سنگین انجام بدن مثلا اجرای سنگین‌ترین بازی‌های اچ دی گوشی مناسبی باشه.,20.0,3
3410,منتظرم تا بیاد حتما از دی جی کالا میخرمش,9.0,3
2300,با توجه به قیمت این تبلت، می‌توان آن ‌را یک دستگاه مقرون به صرفه دانست.,17.0,3
5924,در کل، اگر از طرفداران ثابت ios باشید، استفاده از این نسخه چندان شما را شگفت زده نخواهد نمود.,21.0,1
3922,هرچند که این گوشی فلزی نیست، ولی از پلاستیک معمولی، بسیار مقاوم‌تر می‌باشد.,16.0,4
2937,در آخر لازم به ذکر است که تاچ پد g۵۸۰ به طور کامل از فرمان‌های چند-لمسی یا multi-touch پشتیبانی می‌کند.,22.0,3
1001,انرژی این دوربین از طریق باتری لیتیوم-یونی قابل شارژ np-bg۱ تامین می‌شود که در هر بار شارژ کامل توانایی پشتیبانی برای گرفتن تا ۳۲۰ عکس را دارد.,28.0,2
5101,مشخصه‌های بسیار کارآمد امکان ضبط بر روی هارد ۳۰ گیگابایتی یا کارت‌های حافظه sd از دیگر ویژگی‌های این دوربین به شمار می‌روند.,23.0,4
2758,سخت افزار پردازنده یک گیگا هرتزی که در این گوشی به کار رفته، سبب جلب رضایت کامل کاربر در هنگام کار با گوشی، استفاده از برنامه‌های مختلف یا گشت زنی در اینترنت گشته است.,36.0,3
4126,با آمدن sx۵۰ در دنیای سوپر زومها بقیه رقبا هیچ حرفی واسه گفتن ندارن واقعا لنگه نداره تو رده خودش عالیه هم فیلمبرداریش هم عکاسی حتی در شرایط نوری ضعیف,31.0,4
2903,این ویژگی voice to speech در جاهای دیگر گوشی مثل جستجو در گوگل یا در مرورگر برای نوشتن آدرس‌های اینترنتی هم کاربرد دارد.,24.0,3
1277,اگر بخواهید که اسکنی که تهیه کرده‌اید کیفیتی خوبی داشته باشد باید سعی کنید که سرعت پیمایش یکنواختی داشته باشد.,19.0,2
1007,۱/۲٫۳ اینچ.,4.0,2
3112,حتی شرکت بزرگ مایکروسافت هم در صفحه آغازین سایت ویندوز فون خود این سایت رو با تصاویری از سری لومیای نوکیا زیباتر کرده قابل توجه کسانی که اعلام می‌کنند برای این سیستم عامل نرم افزار نیست باید گفت که فقط ۱۲۶۰۰۰ نرم افزار در سایت ویندوزفون وجود داره این گوشی هم از هر لحاظ کامل بدون نقصه چرا که سیستم عامل ویندوز فون بر عکس اندروید آی ا اس نیازی به رم خیلی بالا نداره کاملا روان راحت کار می‌کنه.,81.0,3
503,مثلا به راحتی می‌توانید بوسیله تجهیزات استقرار مختلف؛ دوربین را به دسته دوچرخه خود، به سطح جلویی یک اسکیت برد، به یک تخته موج سواری، میله‌های کایت یا حتی مچ یا سینه خود متصل کنید.,40.0,2
5902,اما در مورد باتری با این که باتری قلمی میخوره ولی مدت زمان عکس برداری بالایی داره با این که برای تست از باتری معمولی (آلکا) استفاده کردم مدت خیلی طولانی جواب داد این مساله نشان‌گر این است که اگر به جای این باتری‌ها از باتری شارژی (برای مثال نیکل ۲۳۰۰) استفاده کنیم خیلی طولانی‌تر هم میتونیم باهاش عکاسی کنیم در مورد دکمه‌ها دکمه‌های خیلی روانی داره مخصوصا دکمه روشن خاموشش که من در مورد اون نگران بودم ولی یک جای نگرانی هم داره اون هم در مورد دکمه مربوط به زوم هست چون زوم دستی نداره اگر خیلی از این دکمه استفاده بشه اگر قرار باشه کودکی اون رو استفاده کنه ممکنه زود خراب بشه,120.0,1
1389,ابعاد این گوشی ۶۵×۱۲۸ میلی متر است که ۹٫۲ میلی متر نیز ضخامت دارد.,17.0,2
